chain,contract_address,hardcoded_manager,ever_drained_by_mgr,ever_blacklisted_by_mgr,notes
polygon,0x0c4bb0647637b21139ed47890a48bfa61f2fcb66,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x0c9db35c19392250436b877e50c3fdcda0cb3c60,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0cf214d33afaf582a9a8bc00fdacd020159e72f2,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0d83204dc034d96bcb057ee260d4d8defb12ca7a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0e1e0ec21ebefb49e8ffa65f98dc5854837b4a59,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0e4dcd7b45e99747b98cff989887820b580708ca,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0eb9b3667e0276104cd3bdd79d09cbc7f29d4af1,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x102eae7a6af9a62c69f5f0d6ff3f4d1b58897363,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x10663f59d4a7475537164c0c8f47294f7fce6821,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1083dba97798524cd256b6d2e68b851f7b0be3ca,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x111e5dce556a82bd2a5c5b00d9ebffdfee4272be,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x112c4a15369afa34a6e9f434f71ed95e5bff7059,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x113af2e6add4c7a991beb8f8ed25c088807299c9,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1206546342768a1106030a27bb3ae27ea10ac14f,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x121c0747dd236ab332f8efd3ea41697717ae40ff,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1295087a96197fb9d6c1dc3858ed894691d2c4b3,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x12b78cd9fe78798e48c6e9827458118343d300a1,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x12cb1d4e61701814ed7da29894a91be4cc6958c2,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x130b9523fdade9da297eb49bea66e78be2f935f7,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1351bd029e5ecf95b73d9b6ba897caa73d9cbca4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x13f9ed047ea891f95b1fa5abe3d4f9695b4da1b4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x14143b58bd22d56cc3145cab22d87010e2c22137,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x15128d268a8490e7dded89192efcd1a6811a09a5,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x15141ff91bf182332f5bf2a75b1bacce84b47e03,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x154f6f7ac5c0c36f34ab96103d0bb3a486bb1c1f,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x15708981f3daf9fcc85adda6cce254381089c902,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x15956879581f8101bc629ab65f213ecaa20d6591,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x15f306522d81d5ab7da59cf02cbeed47aceaa4e4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1602d04ad7d9a6d9d177d76eff2c63a191adbe04,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x163c649c929713d4e1c30e094bb4f62281a6c20f,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
